POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,count_delitos_OPERACION,count_delitos_TIPO,count_delitos_LATITUD,count_delitos_LONGITUD,count_delitos_M2TOTAL,count_delitos_PRECIOUSD,count_delitos_BARRIO,count_delitos_COMUNA,count_delitos_NUMPOINTS,dist_sub_TargetID,dist_sub_Distance,dist_train_TargetID,dist_train_Distance,dist_ob_TargetID,dist_ob_Distance
"1,VTA,TERRENO,-34.6348665,-58.5237907,276,""340000"",LINIERS,""9"",VTA,TERRENO,-34.634866500000001,-58.523790699999999,276.000000000000000,""340000"",LINIERS,""9"",284.000000000000000,83.000000000000000,4986.727668044485654,""234"",502.192335232429002,Obelisco,13497.084134956636262,,,,,,,,,,,,,,,,,,,,,,,"
"2,VTA,TERRENO,-34.6510703,-58.5177768,388,""397000"",LINIERS,""9"",VTA,TERRENO,-34.651070300000001,-58.517776800000000,388.000000000000000,""397000"",LINIERS,""9"",204.000000000000000,83.000000000000000,4957.987414819670448,""234"",1564.420051363000994,Obelisco,13556.755425990248114,,,,,,,,,,,,,,,,,,,,,,,"
"3,VTA,TERRENO,-34.6435517,-58.5066479,379,""420000"",LINIERS,""9"",VTA,TERRENO,-34.643551700000003,-58.506647899999997,379.000000000000000,""420000"",LINIERS,""9"",223.000000000000000,83.000000000000000,3680.297304539513334,""423"",909.791858658338015,Obelisco,12298.264352296544530,,,,,,,,,,,,,,,,,,,,,,,"
"4,VTA,TERRENO,-34.6261057,-58.4958082,478,""590000"",VELEZ SARSFIELD,""10"",VTA,TERRENO,-34.626105699999997,-58.495808199999999,478.000000000000000,""590000"",VELEZ SARSFIELD,""10"",246.000000000000000,83.000000000000000,2453.320706320895624,""423"",1265.860714040128869,Obelisco,10771.245563327571290,,,,,,,,,,,,,,,,,,,,,,,"
"5,VTA,TERRENO,-34.6367383,-58.4723095,2353,""950000"",FLORESTA,""10"",VTA,TERRENO,-34.636738299999998,-58.472309500000001,2353.000000000000000,""950000"",FLORESTA,""10"",443.000000000000000,83.000000000000000,712.446770512045305,""140"",923.810096406236312,Obelisco,9099.317425104796712,,,,,,,,,,,,,,,,,,,,,,,"
"6,VTA,TERRENO,-34.6291887,-58.4668975,854,""2200000"",FLORES NORTE,""7"",VTA,TERRENO,-34.629188700000000,-58.466897500000002,854.000000000000000,""2200000"",FLORES NORTE,""7"",1076.000000000000000,83.000000000000000,302.650147799026684,""139"",162.515007868895168,Obelisco,8325.983202575602263,,,,,,,,,,,,,,,,,,,,,,,"
"7,VTA,TERRENO,-34.6296591,-58.4590888,121,""385000"",FLORES NORTE,""7"",VTA,TERRENO,-34.629659099999998,-58.459088800000004,121.000000000000000,""385000"",FLORES NORTE,""7"",1026.000000000000000,75.000000000000000,397.233815534846542,""139"",680.207366716192269,Obelisco,7676.403155326265733,,,,,,,,,,,,,,,,,,,,,,,"
"8,VTA,TERRENO,-34.6246791,-58.4432844,630,""1900000"",CABALLITO,""6"",VTA,TERRENO,-34.624679100000002,-58.443284400000003,630.000000000000000,""1900000"",CABALLITO,""6"",673.000000000000000,76.000000000000000,508.110251296951333,""50"",603.856117731542895,Obelisco,6125.907249790774586,,,,,,,,,,,,,,,,,,,,,,,"
"9,VTA,TERRENO,-34.6226835,-58.4276461,392,""2000000"",BOEDO,""5"",VTA,TERRENO,-34.622683500000001,-58.427646099999997,392.000000000000000,""2000000"",BOEDO,""5"",585.000000000000000,60.000000000000000,486.946057527602363,""50"",1516.647736508976323,Obelisco,4728.799978842161181,,,,,,,,,,,,,,,,,,,,,,,"
"10,VTA,TERRENO,-34.6236341,-58.4247092,191,""400000"",BOEDO,""5"",VTA,TERRENO,-34.623634099999997,-58.424709200000002,191.000000000000000,""400000"",BOEDO,""5"",608.000000000000000,60.000000000000000,420.810657600435150,""50"",1804.165752959752808,Obelisco,4540.595794078535619,,,,,,,,,,,,,,,,,,,,,,,"
"11,VTA,TERRENO,-34.6517902,-58.4190364,178,""125000"",NUEVA POMPEYA,""4"",VTA,TERRENO,-34.651790200000001,-58.419036400000003,178.000000000000000,""125000"",NUEVA POMPEYA,""4"",497.000000000000000,79.000000000000000,1316.855505371654999,""121"",416.288343200679719,Obelisco,6360.176822763774908,,,,,,,,,,,,,,,,,,,,,,,"
"12,VTA,TERRENO,-34.6401549,-58.4148721,356,""420000"",NUEVA POMPEYA,""4"",VTA,TERRENO,-34.640154899999999,-58.414872099999997,356.000000000000000,""420000"",NUEVA POMPEYA,""4"",390.000000000000000,79.000000000000000,259.355006977937364,""121"",998.516986599766255,Obelisco,5081.630333001777217,,,,,,,,,,,,,,,,,,,,,,,"
"13,VTA,TERRENO,-34.6267207,-58.3958623,196,""290000"",SAN CRISTOBAL,""3"",VTA,TERRENO,-34.626720700000000,-58.395862299999997,196.000000000000000,""290000"",SAN CRISTOBAL,""3"",546.000000000000000,49.000000000000000,415.544571784261734,""93"",1452.396879057028400,Obelisco,2886.283518880702559,,,,,,,,,,,,,,,,,,,,,,,"
"14,VTA,TERRENO,-34.6400235,-58.380202,224,""280000"",BARRACAS ESTE,""4"",VTA,TERRENO,-34.640023499999998,-58.380201999999997,224.000000000000000,""280000"",BARRACAS ESTE,""4"",235.000000000000000,19.000000000000000,1380.661604083972634,""93"",1093.546702478554607,Obelisco,4049.693783508461365,,,,,,,,,,,,,,,,,,,,,,,"
