"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","agronomia","almagro","balvanera","barrac_e","barrac_o","belgrano","boedo","boca","caballito","chacarita","coghlan","colegial","constitu","fl_norte","fl_sur","floresta","liniers","mataderos","mt_castro","montserr","nva_pomp","nunez","palermo","p_avell","p_chacab","p_chas","p_patric","paternal","p_mader","recoleta","retiro","saavedra","san_cris","san_nico","san_telmo","v_sars","versalles","vcrespo","vdelparq","v_d_nor","v_d_sur","vgmitre","vlugano","vluro","vortuzar","vpuerr","vreal","vriachu","vsrita","vsoldati","vurquiza","residuos"
86,"VTA","TERRENO",-34.6329555,-58.5161097,230,300000,"VERSALLES",10,12.6115377536383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18767208714551
87,"VTA","TERRENO",-34.6479899,-58.5160384,225,290000,"LINIERS",9,12.5776362019627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106807872665122
88,"VTA","TERRENO",-34.651983,-58.51597,236,570000,"LINIERS",9,13.2533916398107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564357296476799
89,"VTA","TERRENO",-34.587191,-58.515818,262,540000,"VILLA DEVOTO NORTE",11,13.1993244185405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.127639182167347
90,"VTA","TERRENO",-34.5957669,-58.5154251,283,800000,"VILLA DEVOTO NORTE",11,13.5923670066501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.256640165685055
91,"VTA","TERRENO",-34.5893726,-58.5153584,157,219000,"VILLA DEVOTO NORTE",11,12.2968270087986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.986320390623133
92,"VTA","TERRENO",-34.6120871,-58.5151627,492,620000,"VILLA DEVOTO SUR",11,13.3374747570213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.107137506096229
93,"VTA","TERRENO",-34.638466,-58.51495,161,260000,"LINIERS",9,12.4684369099977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189300146703389
94,"VTA","TERRENO",-34.5927358,-58.5148615,353,450000,"VILLA DEVOTO NORTE",11,13.0170028617465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.347934780075861
95,"VTA","TERRENO",-34.6153569,-58.5148186,184,260000,"VILLA DEVOTO SUR",11,12.4684369099977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.63337281715502
96,"VTA","TERRENO",-34.600793,-58.5146707,600,1500000,"VILLA DEVOTO NORTE",11,14.2209756660724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.752965626939123
