POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS
"27",VTA,TERRENO,-34.619259200000002,-58.526760099999997,150.000000000000000,"215000",VILLA REAL,"10",5389.851025000380105,1787.845737489870089,7542974.999784950166941,"185"
"28",VTA,TERRENO,-34.648720400000002,-58.526515799999999,400.000000000000000,"270000",LINIERS,"9",5584.536636250940319,1092.551948620099893,7541177.840061550028622,"138"
"29",VTA,TERRENO,-34.643740600000001,-58.526127299999999,325.000000000000000,"450000",LINIERS,"9",5377.338540392709547,540.359604823482982,7541514.344748600386083,"321"
"30",VTA,TERRENO,-34.653615000000002,-58.525846000000001,203.000000000000000,"299900",LINIERS,"9",5745.750245838809860,1636.042056691120024,7540927.272007330320776,"101"
"31",VTA,TERRENO,-34.652466400000002,-58.525726700000000,0.000000000000000,"200000",LINIERS,"9",5680.671058710399848,1509.044692996159938,7541007.146541330032051,"122"
"32",VTA,TERRENO,-34.614162299999997,-58.525618999999999,360.000000000000000,"790000",VILLA REAL,"10",5451.844881138240453,1232.920748752819918,7543376.194170200265944,"252"
"33",VTA,TERRENO,-34.633590900000002,-58.525301300000002,160.000000000000000,"150000",VERSALLES,"10",5113.902735601500353,593.644713305945970,7542202.853242459706962,"200"
"34",VTA,TERRENO,-34.651291700000002,-58.524680500000002,188.000000000000000,"195000",LINIERS,"9",5539.038144575029946,1386.063916628299921,7541159.285883489996195,"145"
"35",VTA,TERRENO,-34.624260999999997,-58.524102999999997,160.000000000000000,"205000",VERSALLES,"10",5045.222070082239952,1633.880545953529918,7542869.280244640074670,"194"
"36",VTA,TERRENO,-34.608865000000002,-58.524078000000003,329.000000000000000,"520000",VILLA DEVOTO SUR,"11",5161.748206153600222,705.596731938261996,7543820.257146770134568,"189"
"37",VTA,TERRENO,-34.615138999999999,-58.523296000000002,241.000000000000000,"850000",VILLA DEVOTO SUR,"11",5214.832906902919603,1383.453527279719992,7543493.114582230336964,"266"
"38",VTA,TERRENO,-34.629593499999999,-58.523183000000003,320.000000000000000,"299000",VERSALLES,"10",4911.320991464839608,1069.338075621599955,7542610.734683539718390,"165"
"39",VTA,TERRENO,-34.602125000000001,-58.523098900000001,945.000000000000000,"2600000",VILLA DEVOTO NORTE,"11",4567.244273524120217,416.234223068206973,7544310.441141770221293,"82"
"40",VTA,TERRENO,-34.629831000000003,-58.523089599999999,350.000000000000000,"350000",VERSALLES,"10",4902.159121337949728,1046.407455382900025,7542603.216619400307536,"184"
"41",VTA,TERRENO,-34.631777000000000,-58.522672000000000,316.000000000000000,"500000",VERSALLES,"10",4864.294475322009930,856.036005559436944,7542515.108472360298038,"189"
"42",VTA,TERRENO,-34.639087000000004,-58.522495999999997,242.000000000000000,"780000",LINIERS,"9",4934.845722580400434,353.328417296391024,7542077.975656749680638,"496"
"43",VTA,TERRENO,-34.627738000000001,-58.522478000000000,440.000000000000000,"2200000",VERSALLES,"10",4856.357012740640130,1285.007459894580052,7542778.854344080202281,"195"
"44",VTA,TERRENO,-34.655354600000003,-58.522375199999999,200.000000000000000,"620000",MATADEROS,"9",5554.531814455460335,1864.190701908979918,7541084.634853989817202,"136"
"45",VTA,TERRENO,-34.658303199999999,-58.522293400000002,199.000000000000000,"350000",MATADEROS,"9",5716.229437468019569,2187.200243567940106,7540909.166841159574687,"80"
"46",VTA,TERRENO,-34.625982100000002,-58.522258299999997,412.000000000000000,"390000",VERSALLES,"10",4853.466376425980343,1478.202435142919967,7542903.837526880204678,"204"
"47",VTA,TERRENO,-34.607145899999999,-58.522220200000000,180.000000000000000,"580000",VILLA DEVOTO SUR,"11",4906.008032669639761,653.774442054471024,7544067.902254940010607,"132"
"48",VTA,TERRENO,-34.649819899999997,-58.521999600000001,160.000000000000000,"180000",LINIERS,"9",5248.041467972680039,1277.967107457619932,7541454.346061060205102,"174"
"49",VTA,TERRENO,-34.650547299999999,-58.521549600000000,373.000000000000000,"378000",LINIERS,"9",5243.662790428579683,1367.568235772859907,7541443.820578309707344,"180"
"50",VTA,TERRENO,-34.601665500000003,-58.521411499999999,213.000000000000000,"350000",VILLA DEVOTO NORTE,"11",4419.165355635959713,579.097674681037006,7544467.446941450238228,"103"
"51",VTA,TERRENO,-34.625910699999999,-58.520643300000003,151.000000000000000,"165000",VERSALLES,"10",4707.156581336959789,1529.902435000489959,7543031.369655519723892,"223"
"52",VTA,TERRENO,-34.604959999999998,-58.520600000000002,245.000000000000000,"650000",VILLA DEVOTO SUR,"11",4626.734925169470444,660.640049166821996,7544326.212899089790881,"117"
"53",VTA,TERRENO,-34.646270299999998,-58.520166199999998,275.000000000000000,"320000",LINIERS,"9",4943.926907882770138,996.960230053466944,7541812.861464809626341,"217"
"54",VTA,TERRENO,-34.604080099999997,-58.520125200000003,245.000000000000000,"480000",VILLA DEVOTO SUR,"11",4525.612864897399959,680.866626013999962,7544416.666925019584596,"112"
"55",VTA,TERRENO,-34.605780000000003,-58.519866000000000,290.000000000000000,"690000",VILLA DEVOTO SUR,"11",4649.199696853000205,755.298683037423984,7544331.628654070198536,"137"
"56",VTA,TERRENO,-34.597248600000000,-58.519847100000000,433.000000000000000,"650000",VILLA DEVOTO NORTE,"11",3986.846933114789863,906.630127004036012,7544859.070105290040374,"91"
"57",VTA,TERRENO,-34.627572000000001,-58.519810000000000,1310.000000000000000,"1400000",VERSALLES,"10",4613.656029146570290,1389.326675644779925,7542992.497407340444624,"220"
"58",VTA,TERRENO,-34.613879300000001,-58.519765700000001,190.000000000000000,"350000",VILLA DEVOTO SUR,"11",4961.431225501049994,1383.554022457760084,7543839.953215190209448,"295"
"59",VTA,TERRENO,-34.649382199999998,-58.519738699999998,216.000000000000000,"250000",LINIERS,"9",5038.967046889740232,1313.619439393090033,7541653.663244079798460,"204"
"60",VTA,TERRENO,-34.612012200000002,-58.519407899999997,0.000000000000000,"570000",VILLA DEVOTO SUR,"11",5013.170859820639635,1219.748760271440005,7543982.339505880139768,"262"
"61",VTA,TERRENO,-34.642503200000000,-58.519279599999997,170.000000000000000,"370000",LINIERS,"9",4735.864860432780006,762.460295463373996,7542112.620219930075109,"303"
"62",VTA,TERRENO,-34.653543300000003,-58.519157499999999,114.000000000000000,"210000",LINIERS,"9",5198.958401560220409,1755.658218019229935,7541441.524722529575229,"171"
"63",VTA,TERRENO,-34.613468900000001,-58.519132599999999,3000.000000000000000,"1600000",VILLA DEVOTO SUR,"11",4925.195114781139637,1348.266924181679997,7543913.526916540227830,"274"
"64",VTA,TERRENO,-34.613852899999998,-58.519093599999998,164.000000000000000,"290000",VILLA DEVOTO SUR,"11",4905.496063999030412,1384.734376203210104,7543892.827565779909492,"272"
"65",VTA,TERRENO,-34.621078400000002,-58.518803800000001,162.000000000000000,"225000",VILLA REAL,"10",4633.243810163189664,2091.492385003559775,7543469.495921229943633,"221"
"66",VTA,TERRENO,-34.647500000000001,-58.517980000000001,299.000000000000000,"335000",LINIERS,"9",4807.778396397819961,1226.190636960950087,7541903.724636299535632,"208"
"67",VTA,TERRENO,-34.589669999999998,-58.517972000000000,163.000000000000000,"880000",VILLA DEVOTO NORTE,"11",3361.375042998040044,957.333971484390986,7545469.360101209953427,"89"
"68",VTA,TERRENO,-34.601866000000001,-58.517930000000000,466.000000000000000,"1500000",VILLA DEVOTO NORTE,"11",4208.765298993150282,511.854778042292992,7544720.571601370349526,"140"
"69",VTA,TERRENO,-34.593291000000001,-58.517882999999998,530.000000000000000,"580000",VILLA DEVOTO NORTE,"11",3575.007021619070201,1152.541683044810043,7545252.872365159913898,"103"
"70",VTA,TERRENO,-34.610145299999999,-58.517516499999999,330.000000000000000,"550000",VILLA DEVOTO SUR,"11",4894.044085324700063,953.225052825858029,7544241.654209329746664,"250"
"71",VTA,TERRENO,-34.651074999999999,-58.517494999999997,388.000000000000000,"490000",LINIERS,"9",4935.240734887739563,1577.992126499930009,7541720.365909250453115,"207"
"72",VTA,TERRENO,-34.612322100000000,-58.517470600000003,800.000000000000000,"1800000",VILLA DEVOTO SUR,"11",4837.377637530909851,1168.129262335909971,7544110.952453889884055,"253"
