InputID,TargetID,Distance
"189",Obelisco,12249.0624789676
"190",Obelisco,11439.1254789564
"191",Obelisco,11362.6857544249
"192",Obelisco,11869.2635103426
"193",Obelisco,11857.2018656213
"194",Obelisco,12311.1429019901
"195",Obelisco,11944.2975235919
"196",Obelisco,11411.3206366217
"197",Obelisco,11366.4934593144
"198",Obelisco,11847.6339223795
"199",Obelisco,12023.0810566056
"200",Obelisco,11965.0817516975
"201",Obelisco,11595.8036430483
"202",Obelisco,11319.9814272794
"203",Obelisco,11305.9822754247
"204",Obelisco,11365.7062021234
"205",Obelisco,11572.6614010264
"206",Obelisco,11651.1888835021
"207",Obelisco,11283.2778551829
"208",Obelisco,11278.3462417594
"209",Obelisco,13339.1454938736
"210",Obelisco,11445.6466547355
"211",Obelisco,11199.3420312968
"212",Obelisco,11289.2699784159
"213",Obelisco,11918.2397554493
"214",Obelisco,11607.1526459486
"215",Obelisco,11154.158742184
"216",Obelisco,11646.9084511062
"217",Obelisco,12788.6446685313
"218",Obelisco,11910.6308163827
"219",Obelisco,12625.1994631384
"220",Obelisco,12522.6574683025
"221",Obelisco,12297.9751406246
"222",Obelisco,11376.0087896901
"223",Obelisco,11216.7351870816
"224",Obelisco,11156.5247656922
"225",Obelisco,11238.6478387985
"226",Obelisco,11260.6827499317
"227",Obelisco,11101.0761035276
"228",Obelisco,11524.2821237472
"229",Obelisco,11096.524781149
"230",Obelisco,11220.7692291265
"231",Obelisco,11806.8541998151
"232",Obelisco,12915.1846100077
"233",Obelisco,12204.3774131927
"234",Obelisco,11317.9106472529
"235",Obelisco,11186.1007189472
"236",Obelisco,11108.498473567
"237",Obelisco,11105.7023481693
"238",Obelisco,11701.8515992901
"239",Obelisco,11682.5030519077
"240",Obelisco,11604.2633887126
"241",Obelisco,11242.9875262023
"242",Obelisco,12163.6727105898
"243",Obelisco,11701.0901789032
"244",Obelisco,11155.8200929724
"245",Obelisco,11095.7373697171
"246",Obelisco,11721.7697195337
"247",Obelisco,11453.9758504121
"248",Obelisco,11196.1848290785
"249",Obelisco,11820.2117916962
"250",Obelisco,11703.7421204421
"251",Obelisco,11704.7256530962
"252",Obelisco,12827.5089299483
"253",Obelisco,11506.344986637
"254",Obelisco,11541.0807349235
"255",Obelisco,10990.8079215682
"256",Obelisco,12762.8211000216
"257",Obelisco,11809.1966173005
"258",Obelisco,10987.3564845332
"259",Obelisco,11612.8299027503
"260",Obelisco,11473.4639714598
"261",Obelisco,10970.7511274271
"262",Obelisco,10889.950312396
"263",Obelisco,11490.7222954063
"264",Obelisco,10871.7641101779
"265",Obelisco,10883.0150915836
"266",Obelisco,10920.6738299857
"267",Obelisco,11985.985361193
"268",Obelisco,11290.1160650377
"269",Obelisco,11852.1129011754
"270",Obelisco,11541.9652741626
"271",Obelisco,10815.3389428269
"272",Obelisco,10959.2224481047
"273",Obelisco,10854.5943050326
"274",Obelisco,12243.0616197589
"275",Obelisco,12295.4856891182
"276",Obelisco,10814.4567687879
"277",Obelisco,11625.0542748865
"278",Obelisco,10972.5931976083
"279",Obelisco,10772.5195399288
"280",Obelisco,11277.0890859602
"281",Obelisco,12253.5413156324
"282",Obelisco,11352.9307837894
"283",Obelisco,12729.3757013215
"284",Obelisco,11065.4569659101
"285",Obelisco,11236.7776741004
"286",Obelisco,10728.3003808882
"287",Obelisco,10739.4011744411
"288",Obelisco,11021.6395971673
"289",Obelisco,11728.0331300315
"290",Obelisco,11240.1978908428
"291",Obelisco,11004.6348614739
"292",Obelisco,11468.7749046735
"293",Obelisco,10653.0973871469
"294",Obelisco,12146.19121507
"295",Obelisco,11005.667418479
"296",Obelisco,12052.0763515472
"297",Obelisco,11480.4373744514
"298",Obelisco,11391.9320699136
"299",Obelisco,11605.7384315708
"300",Obelisco,11266.321850092
"301",Obelisco,10621.8222178978
"302",Obelisco,12026.537066885
"303",Obelisco,10751.8921515015
"304",Obelisco,11631.7974366699
