POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS,Distancia_obelisco(correcta)
"491",VTA,TERRENO,-34.559706499999997,-58.486741000000002,742.000000000000000,"2000000",SAAVEDRA,"12",1621.322554996759891,625.581937114597054,7549699.394876520149410,"243",10804.295831893599825
"492",VTA,TERRENO,-34.607028000000000,-58.486707000000003,383.000000000000000,"880000",VILLA DEL PARQUE,"11",3057.790863964370146,886.467343474019003,7546782.979368530213833,"338",9650.382344298879616
"493",VTA,TERRENO,-34.662649500000001,-58.486631099999997,130.000000000000000,"160000",MATADEROS,"9",3137.741468394549884,1834.272829126299939,7543359.300249270163476,"188",11652.779805863399815
"494",VTA,TERRENO,-34.589697600000001,-58.486480399999998,158.000000000000000,"230000",AGRONOMIA,"15",1412.202107699609996,1447.417642830080013,7547869.138758569955826,"102",9744.495349371320117
"495",VTA,TERRENO,-34.562128999999999,-58.486389000000003,199.000000000000000,"390000",VILLA URQUIZA,"12",1352.259967374279995,895.756384093768020,7549576.781776630319655,"241",10656.779220105199784
"496",VTA,TERRENO,-34.558847999999998,-58.486341000000003,250.000000000000000,"735000",SAAVEDRA,"12",1716.234429888839941,533.778370034273053,7549782.870684090070426,"277",10814.900209476400050
"497",VTA,TERRENO,-34.560394199999998,-58.486260700000003,742.000000000000000,"2000000",SAAVEDRA,"12",1544.748078542199892,705.028518055204017,7549693.598520699888468,"239",10730.684801538500324
"498",VTA,TERRENO,-34.579914100000003,-58.486146200000000,122.000000000000000,"520000",VILLA URQUIZA,"12",526.236093076979955,597.623454731814036,7548498.109666819684207,"288",9944.191736449989548
"499",VTA,TERRENO,-34.607488400000001,-58.486057600000002,0.000000000000000,"380000",VILLA DEL PARQUE,"11",2983.532676515329968,964.711697845786944,7546804.096886520273983,"343",9593.037213403580608
"500",VTA,TERRENO,-34.587953900000002,-58.485990999999999,254.000000000000000,"700000",AGRONOMIA,"15",1215.727787593430094,1478.716836633690036,7548014.011843450367451,"133",9732.748822587989707
"501",VTA,TERRENO,-34.584072900000002,-58.485910900000000,364.000000000000000,"360000",PARQUE CHAS,"15",828.582801332725012,1053.394635448870076,7548259.514171300455928,"186",9811.406469895919145
"502",VTA,TERRENO,-34.600189999999998,-58.485868699999997,214.000000000000000,"550000",VILLA DEL PARQUE,"11",2356.478506949029907,714.986319086675962,7547268.621991739608347,"262",9573.300273673859920
"503",VTA,TERRENO,-34.646597999999997,-58.485816999999997,225.000000000000000,"330000",PARQUE AVELLANEDA,"9",2245.272543501069777,1641.122786166509968,7544410.869765889830887,"209",10685.924764984200010
"504",VTA,TERRENO,-34.545766999999998,-58.485813999999998,372.000000000000000,"715000",SAAVEDRA,"12",2413.888486498779912,886.693121515058010,7550630.185785420238972,"213",11512.697019875800834
"505",VTA,TERRENO,-34.655363600000001,-58.485778000000003,281.000000000000000,"175000",MATADEROS,"9",2584.449596276850116,2546.032606794819912,7543873.450883120298386,"191",11151.101069850599742
"506",VTA,TERRENO,-34.567062000000000,-58.485756199999997,165.000000000000000,"418000",VILLA URQUIZA,"12",807.096768518905947,638.740957652637007,7549320.702482829801738,"328",10378.849682234500506
"507",VTA,TERRENO,-34.585889999999999,-58.485658999999998,333.000000000000000,"430000",PARQUE CHAS,"15",993.781567539371053,1256.037874682569964,7548166.636249939911067,"164",9746.286620000519179
"508",VTA,TERRENO,-34.555064000000002,-58.485522000000003,339.000000000000000,"1500000",SAAVEDRA,"12",2125.067844393539872,179.113995365937996,7550078.807392540387809,"293",10948.304648379900755
"509",VTA,TERRENO,-34.569717400000002,-58.485431699999999,112.000000000000000,"690000",VILLA URQUIZA,"12",517.905029424048053,596.478544121849950,7549181.630198960192502,"449",10239.748313134199634
"510",VTA,TERRENO,-34.583875800000001,-58.485415600000003,1718.000000000000000,"2200000",PARQUE CHAS,"15",786.008925484509973,1040.602443546989889,7548309.441723070107400,"180",9771.955679317530667
"511",VTA,TERRENO,-34.544452000000000,-58.485404000000003,375.000000000000000,"620000",SAAVEDRA,"12",2450.984561538060007,875.165720397091036,7550742.603337369859219,"196",11563.579367281699888
"512",VTA,TERRENO,-34.551324500000000,-58.485315399999998,546.000000000000000,"590000",SAAVEDRA,"12",2158.976505171810004,344.572199265898007,7550325.298409019596875,"260",11141.880604278900137
"513",VTA,TERRENO,-34.583857199999997,-58.485309800000003,360.000000000000000,"360000",PARQUE CHAS,"15",779.284562538412956,1040.708432480930014,7548318.656917179934680,"182",9762.957145040860269
"514",VTA,TERRENO,-34.613437699999999,-58.485232699999997,660.000000000000000,"450000",VILLA SANTA RITA,"11",2390.597340692159833,1539.992224140690041,7546500.088605199940503,"328",9570.256995427680522
"515",VTA,TERRENO,-34.577840000000002,-58.485191999999998,700.000000000000000,"800000",VILLA URQUIZA,"12",383.425221021201992,423.558857836451978,7548698.822199350222945,"482",9923.517216032190845
"516",VTA,TERRENO,-34.625780399999996,-58.485186300000002,383.000000000000000,"750000",FLORESTA,"10",1526.788214803849996,830.891045763474040,7545742.498369179666042,"371",9817.248667312220277
"517",VTA,TERRENO,-34.640090999999998,-58.485137000000002,470.000000000000000,"830000",PARQUE AVELLANEDA,"9",1761.486127378140054,940.281605606685048,7544863.877287119626999,"371",10326.289368703499349
"518",VTA,TERRENO,-34.551532700000003,-58.485087200000002,480.000000000000000,"340000",SAAVEDRA,"12",2133.502778278329970,335.164614213330026,7550329.858000730164349,"264",11111.980786987700412
"519",VTA,TERRENO,-34.547840700000002,-58.484944100000000,225.000000000000000,"390000",SAAVEDRA,"12",2244.675785785910193,718.255329968763021,7550568.582861309871078,"278",11319.187759334899965
"520",VTA,TERRENO,-34.637279800000002,-58.484892000000002,186.000000000000000,"320000",VELEZ SARSFIELD,"10",1577.191446489970076,656.170142207776962,7545055.879396550357342,"481",10187.099776329299857
"521",VTA,TERRENO,-34.547733000000001,-58.484791999999999,375.000000000000000,"590000",SAAVEDRA,"12",2236.462239574470004,733.607738358035022,7550586.830280300229788,"280",11314.034103822099496
"522",VTA,TERRENO,-34.639919499999998,-58.484762500000002,1150.000000000000000,"700000",PARQUE AVELLANEDA,"9",1722.550556182699893,909.047982195446025,7544902.995998550206423,"394",10287.242892975300492
